id,ae_ote_to_target,ae_average_ote_pay,ae_ramp_period,channel_ote,channel_average_ote_pay,channel_ramp_period,cs_ote,clients_to_cs,lead_price,lead_close_probability,outsourced_leads,marketing_ote,marketing_ote_to_target,ae_redundancy,senior_cs_to_csm,csm_to_cs,sm_to_aes,spm_to_cm,sd_to_sms,sd_to_cro,cm_to_cpms,smm_to_team_member,business_id,financial_year_id,created_at,updated_at,bde_ote_to_target,bde_average_ote_pay,channel_partner_ote_to_target,channel_partner_average_ote_pay,option1_recruitement_pay_per_hire_percent,option2_recruitement_pay_per_hire,option3_recruitement_pay_per_hire,channel_partner_ramp_period,bde_ramp_period,budget_percentage,marketing_team_count,sdr,sdr_ote,id:1,year,business_id:1,created_at:1,updated_at:1,Financial_year
1caeaed7-83c8-4bf1-b1a3-54a28c0a407c,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,9cb7efec-53c0-4cc9-aed8-bb410651d728,2023-10-29 17:16:05,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,9cb7efec-53c0-4cc9-aed8-bb410651d728,2023,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2023
4ccf0fe9-0abf-4fc0-8534-40bce8ecb862,15,180000,2,5,12000,2,0,100,250,10,80,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,7db28175-f010-41c8-b118-5791ba406f77,2023-10-29 17:16:05,2024-02-23 07:25:04,10,0,10,0,18,7000,144000,2,2,10,0,20,12000,7db28175-f010-41c8-b118-5791ba406f77,2024,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2024
930836ca-a908-4e02-a64c-b8d63dfb9131,15,180000,2,5,12000,2,0,100,250,10,60,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,43a08fd4-e951-4aa9-9cc7-8af0b8b01d39,2023-10-29 17:16:05,2024-02-23 07:25:04,10,0,10,0,18,7000,144000,2,2,10,0,40,12000,43a08fd4-e951-4aa9-9cc7-8af0b8b01d39,2025,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2025
64583014-111f-48d3-a832-88128ead985f,15,180000,2,5,12000,2,0,100,250,10,40,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,627c56f7-e2b5-46c6-8992-65a701f61b08,2023-10-29 17:16:05,2024-02-23 07:25:05,10,0,10,0,18,7000,144000,2,2,10,0,60,12000,627c56f7-e2b5-46c6-8992-65a701f61b08,2026,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2026
0bb39573-d99f-4278-95e9-154ff9da1aa5,15,180000,2,5,12000,2,0,100,250,10,20,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,a394765b-9cc1-448f-a2d6-9e3f806e04ad,2023-10-29 17:16:05,2024-02-23 07:25:05,10,0,10,0,18,7000,144000,2,2,10,0,80,12000,a394765b-9cc1-448f-a2d6-9e3f806e04ad,2027,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2027
c56fe6e0-812c-4a2a-959c-9547235a4bb8,15,180000,2,5,12000,2,0,100,250,10,0,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,c7e88ade-fed9-4d83-bae6-cc59203b5996,2023-10-29 17:16:05,2024-02-22 07:35:17,10,0,10,0,18,7000,144000,2,2,10,0,100,12000,c7e88ade-fed9-4d83-bae6-cc59203b5996,2028,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2028
d8529f68-137c-4662-9e02-b00bb5baa6e5,15,180000,2,5,12000,2,0,100,250,10,0,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,147e3949-01fb-4d60-87b6-db6e2bd2607f,2023-10-29 17:16:05,2024-02-22 07:35:17,10,0,10,0,18,7000,144000,2,2,10,0,100,12000,147e3949-01fb-4d60-87b6-db6e2bd2607f,2029,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2029
cd689541-ffb2-4225-a3ad-60c3bf65b2a6,15,180000,2,5,12000,2,0,100,250,10,0,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,0de714cc-13de-4de0-a954-b03213de0789,2023-10-29 17:16:05,2024-02-22 07:35:17,10,0,10,0,18,7000,144000,2,2,10,0,100,12000,0de714cc-13de-4de0-a954-b03213de0789,2030,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2030
6be5cf36-aa46-47ed-9080-25ab67ea1137,15,180000,2,5,12000,2,0,100,250,10,0,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,93de2d1b-9876-4aba-9a7c-1b06ee29265e,2023-10-29 17:16:05,2024-02-22 07:35:17,10,0,10,0,18,7000,144000,2,2,10,0,100,12000,93de2d1b-9876-4aba-9a7c-1b06ee29265e,2031,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2031
e1055b28-eed5-4636-94bb-978a13fb9373,15,180000,2,5,12000,2,0,100,250,10,0,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,868e1c31-b718-4e91-a1ce-67965041b911,2023-10-29 17:16:05,2024-02-22 07:35:17,10,0,10,0,18,7000,144000,2,2,10,0,100,12000,868e1c31-b718-4e91-a1ce-67965041b911,2032,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2032
6ed23a50-cccc-4053-bd97-c00091d340c8,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,974c551b-06f3-49d5-ab2d-7bc027b480fb,2023-10-29 17:16:05,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,974c551b-06f3-49d5-ab2d-7bc027b480fb,2022,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2022
0334b2d6-3db9-4072-b375-09daf33bea0b,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,c758f00c-5a9d-46ce-a5e3-370d57551529,2023-10-29 17:16:05,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,c758f00c-5a9d-46ce-a5e3-370d57551529,2021,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2021
5701d341-d722-47bc-821c-38a2d8637c2c,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,dba05af8-3cf8-45ef-9ca8-6dad92357070,2023-10-29 17:16:05,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,dba05af8-3cf8-45ef-9ca8-6dad92357070,2020,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2020
363a430f-a77b-423f-a8a7-255490cd878a,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,dad75224-51c7-4e75-950a-5d03009d4a78,2023-10-29 17:16:05,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,dad75224-51c7-4e75-950a-5d03009d4a78,2019,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2019
d1df354f-8bdc-45b0-9b93-2d92198acb82,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,ec91961a-26e5-4c71-b1da-2621058e5cb3,b601dae8-849c-4b7a-a842-b9c2a8715f6d,2023-10-29 17:16:05,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,b601dae8-849c-4b7a-a842-b9c2a8715f6d,2018,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19,2018
3b90bf01-6e33-4fb7-9ecd-cc79561fd350,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,22dfff08-9907-4145-a2ab-abaa8567cccc,b87fd354-e9ee-4638-9e5e-1962440dc44c,2023-10-29 17:16:05,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,b87fd354-e9ee-4638-9e5e-1962440dc44c,2023,22dfff08-9907-4145-a2ab-abaa8567cccc,2023-10-29 14:56:09,2023-10-29 14:56:09,2023
ba0f2350-9d25-4d75-a911-b62453e7f6a5,15,180000,2,5,12000,2,0,100,250,10,80,60000,0,20,5,8,8,8,6,1,6,1,22dfff08-9907-4145-a2ab-abaa8567cccc,d4c8875d-d337-4f13-bb62-789ccdb9caf9,2023-10-29 17:16:05,2024-02-23 07:25:05,10,0,10,0,18,7000,144000,2,2,10,0,20,12000,d4c8875d-d337-4f13-bb62-789ccdb9caf9,2024,22dfff08-9907-4145-a2ab-abaa8567cccc,2023-10-29 14:56:09,2023-10-29 14:56:09,2024
430869c2-e548-4744-9b8c-148dbf31baee,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,a16c38db-cea9-4a62-b059-be31b7e5e2a9,292dd84d-d6c3-4ee2-a5cd-bd38f04401e3,2023-10-29 17:16:05,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,292dd84d-d6c3-4ee2-a5cd-bd38f04401e3,2023,a16c38db-cea9-4a62-b059-be31b7e5e2a9,2023-10-29 14:56:14,2023-10-29 14:56:14,2023
5057fe72-7d59-42e5-a64e-49a6c8437e62,15,180000,2,5,12000,2,0,100,250,10,80,60000,0,20,5,8,8,8,6,1,6,1,a16c38db-cea9-4a62-b059-be31b7e5e2a9,32586968-83a3-45a3-9095-6359fa698336,2023-10-29 17:16:05,2024-02-23 07:25:05,10,0,10,0,18,7000,144000,2,2,10,0,20,12000,32586968-83a3-45a3-9095-6359fa698336,2024,a16c38db-cea9-4a62-b059-be31b7e5e2a9,2023-10-29 14:56:14,2023-10-29 14:56:14,2024
9be041f9-0bdb-40d4-9e8c-4b302b754467,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,4c331a3e-1038-477d-8f45-2033a04d72fe,2023-11-01 08:00:40,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,4c331a3e-1038-477d-8f45-2033a04d72fe,2023,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40,2023
600a3715-3e1a-47df-ad53-7b1388f8b5d2,15,180000,2,5,12000,2,0,100,250,10,80,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,11089d96-e1e0-4e49-8670-08f4f48d5616,2023-11-01 08:00:40,2024-02-23 07:25:05,10,0,10,0,18,7000,144000,2,2,10,0,20,12000,11089d96-e1e0-4e49-8670-08f4f48d5616,2024,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40,2024
